generacion,optimal,avg,dominio
0,10.004588352615022,10.007600188055402,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523  140.           17.52354192
 -103.93983137  140.           25.52555039 -115.14267072  300.        ]"
1,10.004588352615022,10.00734492382758,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523  140.           17.52354192
 -103.93983137  140.           25.52555039 -115.14267072  300.        ]"
2,10.004354820665405,10.007562084674477,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523   70.           20.8385767
 -103.53750992  300.           30.83472661 -112.77794189   70.        ]"
3,10.004354820665405,10.007519447571703,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523   70.           20.8385767
 -103.53750992  300.           30.83472661 -112.77794189   70.        ]"
4,10.004354820665405,10.007439396600669,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523   70.           20.8385767
 -103.53750992  300.           30.83472661 -112.77794189   70.        ]"
5,10.004354820665405,10.007347589750589,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523   70.           20.8385767
 -103.53750992  300.           30.83472661 -112.77794189   70.        ]"
6,10.004354820665405,10.007539118813105,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523   70.           20.8385767
 -103.53750992  300.           30.83472661 -112.77794189   70.        ]"
7,10.004354820665405,10.007604899272899,"[  30.06110795 -115.86930148   70.           30.86161284 -112.19049665
   70.           22.96481762  -88.14639323  140.           20.08722345
  -99.16681458  300.           14.23878047  -93.0948267   140.
   27.43957798 -102.7746429    70.           27.95161081 -106.20429659
  140.           17.34785401  -90.5997131    70.           27.53892759
 -100.62346378  300.           32.53668901  -90.64174186   70.
   29.36671897 -112.36831602  300.           19.72430103 -102.8464727
  140.           21.35975775 -111.42070523   70.           20.8385767
 -103.53750992  300.           30.83472661 -112.77794189   70.        ]"
8,10.00418455270353,10.00754176506516,"[  30.99708147 -111.52321599  140.           17.8282906   -96.69585551
  300.           25.16023968 -100.08191533   70.           20.36139233
 -107.47685163  140.           15.16444348  -86.11632702  300.
   18.96502073  -98.28687751  300.           15.03971428 -115.62112607
  140.           24.15234511 -112.15429056  300.           26.34314288
 -110.29061943  140.           26.69226277 -105.46131122  140.
   20.88039206 -102.18817707   70.           17.25727964  -88.90434415
  300.           23.68165855 -116.14156264   70.           26.80985916
 -104.19651302   70.           32.40840342 -114.37639092  140.        ]"
9,10.00415964728086,10.007533218835588,"[  27.41013371  -94.61384065  300.           13.92877016  -87.66261028
  140.           29.96918409 -105.83755316   70.           19.55941087
  -93.54325573   70.           26.18915649  -99.12225301  140.
   20.76518862 -103.2758572   300.           21.74120444 -100.03950005
  300.           31.92100896 -116.45012908  300.           27.56309462
 -102.00542009   70.           15.39232875 -106.70611308   70.
   20.28973876 -100.24998996  300.           31.07024215 -103.14505222
   70.           22.83944293  -88.61945334   70.           15.89156239
  -92.99911699   70.           26.71003422 -114.18405957  300.        ]"
10,10.004159644920028,10.007409070600977,"[  29.51105964 -116.95197412  140.           24.71013928 -117.48819204
  140.           29.96918409 -105.83755316   70.           19.55941087
  -93.54325573   70.           26.18915649  -99.12225301  140.
   20.76518862 -103.2758572   300.           21.74120444 -100.03950005
  300.           31.92100896 -116.45012908  300.           27.56309462
 -102.00542009   70.           15.39232875 -106.70611308   70.
   20.28973876 -100.24998996  300.           31.07024215 -103.14505222
   70.           22.83944293  -88.61945334   70.           15.89156239
  -92.99911699   70.           26.71003422 -114.18405957  300.        ]"
11,10.004159644920028,10.007232324048264,"[  29.51105964 -116.95197412  140.           24.71013928 -117.48819204
  140.           29.96918409 -105.83755316   70.           19.55941087
  -93.54325573   70.           26.18915649  -99.12225301  140.
   20.76518862 -103.2758572   300.           21.74120444 -100.03950005
  300.           31.92100896 -116.45012908  300.           27.56309462
 -102.00542009   70.           15.39232875 -106.70611308   70.
   20.28973876 -100.24998996  300.           31.07024215 -103.14505222
   70.           22.83944293  -88.61945334   70.           15.89156239
  -92.99911699   70.           26.71003422 -114.18405957  300.        ]"
12,10.004159644920028,10.007343809405395,"[  29.51105964 -116.95197412  140.           24.71013928 -117.48819204
  140.           29.96918409 -105.83755316   70.           19.55941087
  -93.54325573   70.           26.18915649  -99.12225301  140.
   20.76518862 -103.2758572   300.           21.74120444 -100.03950005
  300.           31.92100896 -116.45012908  300.           27.56309462
 -102.00542009   70.           15.39232875 -106.70611308   70.
   20.28973876 -100.24998996  300.           31.07024215 -103.14505222
   70.           22.83944293  -88.61945334   70.           15.89156239
  -92.99911699   70.           26.71003422 -114.18405957  300.        ]"
13,10.004159644920028,10.0073069793632,"[  29.51105964 -116.95197412  140.           24.71013928 -117.48819204
  140.           29.96918409 -105.83755316   70.           19.55941087
  -93.54325573   70.           26.18915649  -99.12225301  140.
   20.76518862 -103.2758572   300.           21.74120444 -100.03950005
  300.           31.92100896 -116.45012908  300.           27.56309462
 -102.00542009   70.           15.39232875 -106.70611308   70.
   20.28973876 -100.24998996  300.           31.07024215 -103.14505222
   70.           22.83944293  -88.61945334   70.           15.89156239
  -92.99911699   70.           26.71003422 -114.18405957  300.        ]"
14,10.004159644920028,10.007509404349046,"[  29.51105964 -116.95197412  140.           24.71013928 -117.48819204
  140.           29.96918409 -105.83755316   70.           19.55941087
  -93.54325573   70.           26.18915649  -99.12225301  140.
   20.76518862 -103.2758572   300.           21.74120444 -100.03950005
  300.           31.92100896 -116.45012908  300.           27.56309462
 -102.00542009   70.           15.39232875 -106.70611308   70.
   20.28973876 -100.24998996  300.           31.07024215 -103.14505222
   70.           22.83944293  -88.61945334   70.           15.89156239
  -92.99911699   70.           26.71003422 -114.18405957  300.        ]"
