generacion,optimal,avg,dominio
0,10359.0,10830.91,"[0.74374669 0.6580873  0.72444557 0.91308616 0.99648949 0.69085488
 0.25229012 0.20239004 0.84915486 0.29145786 0.84143421 0.06221579
 0.94260766 0.83368254 0.77296804]"
1,10282.0,10811.54,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
2,10282.0,10813.21,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
3,10282.0,10804.36,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
4,10282.0,10845.62,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
5,10282.0,10840.85,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
6,10282.0,10811.98,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
7,10282.0,10810.35,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
8,10282.0,10831.16,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
9,10282.0,10797.49,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
10,10282.0,10840.75,"[0.75464455 0.81971458 0.87082116 0.71853992 0.94513827 0.35636694
 0.91702558 0.01374128 0.97021655 0.43175197 0.89891731 0.76627583
 0.94037092 0.94992791 0.58817135]"
11,10167.0,10855.87,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
12,10167.0,10848.13,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
13,10167.0,10837.2,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
14,10167.0,10828.47,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
15,10167.0,10807.26,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
16,10167.0,10824.77,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
17,10167.0,10815.25,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
18,10167.0,10808.34,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
19,10167.0,10816.96,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
