generacion,optimal,avg,dominio
0,10.001598848015245,10.002537685452854,"[  23.51360474  -98.81939879  300.           19.83206532  -90.21703122
  140.           15.7543597   -95.2101816   140.           22.31132876
  -94.73262658   70.           19.58225724 -101.99038406   70.
   15.20981826  -89.31955173   70.           20.24906535 -101.164829
   70.           22.33180723 -114.71671635  140.           25.18174676
 -103.8023676    70.           19.57582281  -99.00405832   70.
   31.40066132 -112.5682499   300.           18.80063702  -95.62200938
  140.           20.96938856  -90.05240415  140.           26.13735782
 -106.31030436   70.           16.26044437  -87.43583576  140.        ]"
1,10.001598848015245,10.002521526058484,"[  23.51360474  -98.81939879  300.           19.83206532  -90.21703122
  140.           15.7543597   -95.2101816   140.           22.31132876
  -94.73262658   70.           19.58225724 -101.99038406   70.
   15.20981826  -89.31955173   70.           20.24906535 -101.164829
   70.           22.33180723 -114.71671635  140.           25.18174676
 -103.8023676    70.           19.57582281  -99.00405832   70.
   31.40066132 -112.5682499   300.           18.80063702  -95.62200938
  140.           20.96938856  -90.05240415  140.           26.13735782
 -106.31030436   70.           16.26044437  -87.43583576  140.        ]"
2,10.001565474669999,10.002492072645264,"[  23.51360474  -98.81939879  300.           19.83206532  -90.21703122
  140.           15.7543597   -95.2101816   140.           22.31132876
  -94.73262658   70.           19.58225724 -101.99038406   70.
   15.20981826  -89.31955173   70.           20.24906535 -101.164829
   70.           22.33180723 -114.71671635  140.           25.18174676
 -103.8023676    70.           19.57582281  -99.00405832   70.
   31.40066132 -112.5682499   140.           30.73067794 -106.53026782
  300.           25.35026789  -88.56066081  300.           14.14230157
 -110.21478779  140.           30.87255979  -87.43804685  140.        ]"
3,10.001565474669999,10.002536466026992,"[  23.51360474  -98.81939879  300.           19.83206532  -90.21703122
  140.           15.7543597   -95.2101816   140.           22.31132876
  -94.73262658   70.           19.58225724 -101.99038406   70.
   15.20981826  -89.31955173   70.           20.24906535 -101.164829
   70.           22.33180723 -114.71671635  140.           25.18174676
 -103.8023676    70.           19.57582281  -99.00405832   70.
   31.40066132 -112.5682499   140.           30.73067794 -106.53026782
  300.           25.35026789  -88.56066081  300.           14.14230157
 -110.21478779  140.           30.87255979  -87.43804685  140.        ]"
4,10.001565474669999,10.002534677977778,"[  23.51360474  -98.81939879  300.           19.83206532  -90.21703122
  140.           15.7543597   -95.2101816   140.           22.31132876
  -94.73262658   70.           19.58225724 -101.99038406   70.
   15.20981826  -89.31955173   70.           20.24906535 -101.164829
   70.           22.33180723 -114.71671635  140.           25.18174676
 -103.8023676    70.           19.57582281  -99.00405832   70.
   31.40066132 -112.5682499   140.           30.73067794 -106.53026782
  300.           25.35026789  -88.56066081  300.           14.14230157
 -110.21478779  140.           30.87255979  -87.43804685  140.        ]"
5,10.001565474669999,10.002492606028659,"[  23.51360474  -98.81939879  300.           19.83206532  -90.21703122
  140.           15.7543597   -95.2101816   140.           22.31132876
  -94.73262658   70.           19.58225724 -101.99038406   70.
   15.20981826  -89.31955173   70.           20.24906535 -101.164829
   70.           22.33180723 -114.71671635  140.           25.18174676
 -103.8023676    70.           19.57582281  -99.00405832   70.
   31.40066132 -112.5682499   140.           30.73067794 -106.53026782
  300.           25.35026789  -88.56066081  300.           14.14230157
 -110.21478779  140.           30.87255979  -87.43804685  140.        ]"
6,10.001565474669999,10.002523066313252,"[  23.51360474  -98.81939879  300.           19.83206532  -90.21703122
  140.           15.7543597   -95.2101816   140.           22.31132876
  -94.73262658   70.           19.58225724 -101.99038406   70.
   15.20981826  -89.31955173   70.           20.24906535 -101.164829
   70.           22.33180723 -114.71671635  140.           25.18174676
 -103.8023676    70.           19.57582281  -99.00405832   70.
   31.40066132 -112.5682499   140.           30.73067794 -106.53026782
  300.           25.35026789  -88.56066081  300.           14.14230157
 -110.21478779  140.           30.87255979  -87.43804685  140.        ]"
7,10.001538814700798,10.002626718366987,"[  30.07895074  -90.11687607  300.           27.98317898 -108.60919293
  300.           32.56731305  -98.72178874  300.           25.79427157
  -97.74286581   70.           19.18332251 -109.82277679  140.
   16.05059751 -104.5019897   140.           33.11819907 -104.97515755
  300.           30.95298708 -106.29295003  300.           19.39331157
 -102.45761717  140.           19.70607481  -98.83764446   70.
   14.75094345 -109.68552492   70.           21.60257607  -90.18766447
  140.           28.55293991 -101.44274882  300.           31.79956334
 -115.20512644   70.           28.10904502  -93.22708864  300.        ]"
8,10.001538814700798,10.00256865732929,"[  30.07895074  -90.11687607  300.           27.98317898 -108.60919293
  300.           32.56731305  -98.72178874  300.           25.79427157
  -97.74286581   70.           19.18332251 -109.82277679  140.
   16.05059751 -104.5019897   140.           33.11819907 -104.97515755
  300.           30.95298708 -106.29295003  300.           19.39331157
 -102.45761717  140.           19.70607481  -98.83764446   70.
   14.75094345 -109.68552492   70.           21.60257607  -90.18766447
  140.           28.55293991 -101.44274882  300.           31.79956334
 -115.20512644   70.           28.10904502  -93.22708864  300.        ]"
9,10.001538814700798,10.002569435905803,"[  30.07895074  -90.11687607  300.           27.98317898 -108.60919293
  300.           32.56731305  -98.72178874  300.           25.79427157
  -97.74286581   70.           19.18332251 -109.82277679  140.
   16.05059751 -104.5019897   140.           33.11819907 -104.97515755
  300.           30.95298708 -106.29295003  300.           19.39331157
 -102.45761717  140.           19.70607481  -98.83764446   70.
   14.75094345 -109.68552492   70.           21.60257607  -90.18766447
  140.           28.55293991 -101.44274882  300.           31.79956334
 -115.20512644   70.           28.10904502  -93.22708864  300.        ]"
