generacion,optimal,avg,dominio
0,9527.0,10157.34,"[0.97300311 0.5921296  0.96020581 0.81575793 0.71742788 0.99804262
 0.62375941 0.40390888 0.8071862  0.81234156 0.61688287 0.12979325
 0.65014396 0.9359697  0.89425306 0.3790414  0.52539228 0.24186895
 0.52739682 0.35593828]"
1,9527.0,10156.25,"[0.97300311 0.5921296  0.96020581 0.81575793 0.71742788 0.99804262
 0.62375941 0.40390888 0.8071862  0.81234156 0.61688287 0.12979325
 0.65014396 0.9359697  0.89425306 0.3790414  0.52539228 0.24186895
 0.52739682 0.35593828]"
2,9448.0,10149.26,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.2564846
 0.97311344 0.31813119]"
3,9448.0,10124.69,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.2564846
 0.97311344 0.31813119]"
4,9448.0,10140.58,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.2564846
 0.97311344 0.31813119]"
5,9448.0,10128.92,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.2564846
 0.97311344 0.31813119]"
6,9396.0,10126.26,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
7,9396.0,10161.74,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
8,9396.0,10138.22,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
9,9396.0,10119.61,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
10,9396.0,10136.41,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
11,9396.0,10143.07,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
12,9396.0,10123.83,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
13,9396.0,10136.91,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
14,9396.0,10158.27,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
15,9396.0,10175.52,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
16,9396.0,10190.33,"[0.64277266 0.90903973 0.29346675 0.76882246 0.88639375 0.39532105
 0.64911799 0.43324513 0.5627162  0.80049996 0.80807584 0.47600373
 0.73683053 0.85460416 0.98307941 0.81025483 0.96610344 0.17422388
 0.43133319 0.99477991]"
17,9395.0,10123.34,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
18,9395.0,10131.1,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
19,9395.0,10131.67,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
20,9395.0,10163.33,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
21,9395.0,10151.32,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
22,9395.0,10155.88,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
23,9395.0,10150.08,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
24,9395.0,10150.72,"[0.77574121 0.46614901 0.95473621 0.71421532 0.07109326 0.73043017
 0.94682819 0.95608478 0.73258676 0.34581831 0.58374285 0.6948892
 0.67177181 0.56494548 0.79880224 0.88257015 0.85110923 0.94019759
 0.00728376 0.54682687]"
25,9309.0,10142.96,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
26,9309.0,10157.18,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
27,9309.0,10190.34,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
28,9309.0,10198.03,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
29,9309.0,10156.49,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
30,9309.0,10106.9,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
31,9309.0,10149.09,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
32,9309.0,10112.06,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
33,9309.0,10096.04,"[0.72567876 0.51923635 0.89029758 0.46970582 0.39238287 0.55174002
 0.85003581 0.96645928 0.96608499 0.87125374 0.09944871 0.62713887
 0.57055278 0.9225573  0.99291621 0.44434398 0.92807309 0.08106741
 0.81457189 0.77066573]"
34,9217.0,10129.97,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.35880644 0.56895156 0.87845895 0.941911   0.69086909 0.70474326
 0.27708329 0.64110634]"
35,9217.0,10122.26,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.35880644 0.56895156 0.87845895 0.941911   0.69086909 0.70474326
 0.27708329 0.64110634]"
36,9217.0,10153.73,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.35880644 0.56895156 0.87845895 0.941911   0.69086909 0.70474326
 0.27708329 0.64110634]"
37,9217.0,10153.95,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.35880644 0.56895156 0.87845895 0.941911   0.69086909 0.70474326
 0.27708329 0.64110634]"
38,9217.0,10155.24,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.35880644 0.56895156 0.87845895 0.941911   0.69086909 0.70474326
 0.27708329 0.64110634]"
39,9134.0,10187.24,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.32871066]"
40,9134.0,10180.43,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.32871066]"
41,9134.0,10153.65,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.32871066]"
42,9134.0,10136.92,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.32871066]"
43,9116.0,10149.91,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.46272524]"
44,9116.0,10141.9,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.46272524]"
45,9116.0,10156.03,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.46272524]"
46,9116.0,10129.23,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.46272524]"
47,9116.0,10137.82,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.46272524]"
48,9116.0,10150.2,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.46272524]"
49,9116.0,10131.21,"[0.89140698 0.53063408 0.86156291 0.52034616 0.62853889 0.76519219
 0.9994304  0.9272861  0.8812194  0.42331192 0.92163636 0.94406334
 0.87137982 0.11112    0.72641558 0.28833704 0.87381027 0.90746253
 0.6454177  0.46272524]"
