generacion,optimal,avg,dominio
0,10.007691426157807,10.011655906570047,"[  24.24334045  -99.08927701   70.           28.06798479 -115.05235465
  300.           16.21579609 -102.55405119  140.           20.90001571
  -98.47123515  140.           21.0792099  -102.41963895  140.
   16.28217305 -111.95336276  300.        ]"
1,10.006848676136913,10.01202824900045,"[  24.24334045  -99.08927701   70.           28.06798479 -115.05235465
  300.           16.21579609 -102.55405119  140.           20.90001571
  -98.47123515  140.           21.0792099  -102.41963895  140.
   32.25744953 -104.63215538  300.        ]"
2,10.006848676136913,10.01164317173739,"[  24.24334045  -99.08927701   70.           28.06798479 -115.05235465
  300.           16.21579609 -102.55405119  140.           20.90001571
  -98.47123515  140.           21.0792099  -102.41963895  140.
   32.25744953 -104.63215538  300.        ]"
3,10.006848676136913,10.01181754306942,"[  24.24334045  -99.08927701   70.           28.06798479 -115.05235465
  300.           16.21579609 -102.55405119  140.           20.90001571
  -98.47123515  140.           21.0792099  -102.41963895  140.
   32.25744953 -104.63215538  300.        ]"
4,10.006811036123102,10.012186947037735,"[  28.27797924  -99.77613626  140.           19.95410653  -99.28178546
  140.           28.22722178 -108.25576177  140.           22.41042935
 -109.51163994  140.           19.53940275 -101.62772277  140.
   17.86574713  -97.6628326   300.        ]"
5,10.006718094205176,10.011655271810483,"[  24.24334045  -99.08927701   70.           28.06798479 -115.05235465
  300.           16.21579609 -102.55405119  140.           20.90001571
  -98.47123515  140.           21.0792099  -102.41963895  140.
   32.25744953 -106.98989838  300.        ]"
6,10.006652142633673,10.01152016092011,"[  29.18630684  -99.89212794  300.           20.80440329  -87.99316802
  300.           30.06404507 -105.86242254  140.           18.9577616
  -99.785919     70.           31.82624352 -116.52704164  140.
   16.06437592  -89.66577868  300.        ]"
7,10.006652142633673,10.011441456511832,"[  29.18630684  -99.89212794  300.           20.80440329  -87.99316802
  300.           30.06404507 -105.86242254  140.           18.9577616
  -99.785919     70.           31.82624352 -116.52704164  140.
   16.06437592  -89.66577868  300.        ]"
8,10.006652142633673,10.011172267237264,"[  29.18630684  -99.89212794  300.           20.80440329  -87.99316802
  300.           30.06404507 -105.86242254  140.           18.9577616
  -99.785919     70.           31.82624352 -116.52704164  140.
   16.06437592  -89.66577868  300.        ]"
9,10.006652142633673,10.011458880631674,"[  29.18630684  -99.89212794  300.           20.80440329  -87.99316802
  300.           30.06404507 -105.86242254  140.           18.9577616
  -99.785919     70.           31.82624352 -116.52704164  140.
   16.06437592  -89.66577868  300.        ]"
